,temperature_2m,relativehumidity_2m,windspeed_10m,precipitation
2020-01-01 00:00:00,21.3,88,16.4,0.0
2020-01-01 01:00:00,20.7,91,15.8,0.0
2020-01-01 02:00:00,20.2,92,16.1,0.0
2020-01-01 03:00:00,20.0,93,17.1,0.0
2020-01-01 04:00:00,19.8,92,19.2,0.0
2020-01-01 05:00:00,19.3,92,21.8,0.0
2020-01-01 06:00:00,19.3,90,22.6,0.0
2020-01-01 07:00:00,19.3,85,23.0,0.0
2020-01-01 08:00:00,19.7,80,24.3,0.0
2020-01-01 09:00:00,21.1,78,19.3,0.0
2020-01-01 10:00:00,22.2,74,18.5,0.0
2020-01-01 11:00:00,23.1,70,18.2,0.0
2020-01-01 12:00:00,24.1,65,18.8,0.2
2020-01-01 13:00:00,23.9,68,18.4,0.2
2020-01-01 14:00:00,24.3,65,20.6,0.0
2020-01-01 15:00:00,24.8,63,19.9,0.0
2020-01-01 16:00:00,23.8,70,21.6,0.1
2020-01-01 17:00:00,23.9,68,22.3,0.1
2020-01-01 18:00:00,23.9,66,23.5,0.0
2020-01-01 19:00:00,23.2,70,24.0,0.0
2020-01-01 20:00:00,22.1,74,22.4,0.0
2020-01-01 21:00:00,21.4,77,19.9,0.0
2020-01-01 22:00:00,20.7,79,20.6,0.0
2020-01-01 23:00:00,19.7,83,19.9,0.0
2020-01-02 00:00:00,19.1,86,19.6,0.0
2020-01-02 01:00:00,18.7,88,19.1,0.0
2020-01-02 02:00:00,18.6,88,18.2,0.0
2020-01-02 03:00:00,18.3,90,17.7,0.0
2020-01-02 04:00:00,18.3,90,18.2,0.0
2020-01-02 05:00:00,18.4,92,16.8,0.1
2020-01-02 06:00:00,19.0,92,16.6,0.1
2020-01-02 07:00:00,20.0,89,17.6,0.1
2020-01-02 08:00:00,21.1,84,18.7,0.3
2020-01-02 09:00:00,21.8,75,20.2,0.4
2020-01-02 10:00:00,22.2,76,21.3,0.4
2020-01-02 11:00:00,23.0,71,23.8,0.2
2020-01-02 12:00:00,23.3,69,23.8,0.1
2020-01-02 13:00:00,23.6,67,25.0,0.1
2020-01-02 14:00:00,23.9,67,25.4,0.0
2020-01-02 15:00:00,24.2,65,23.6,0.0
2020-01-02 16:00:00,24.2,67,23.9,0.0
2020-01-02 17:00:00,23.6,69,26.2,0.0
2020-01-02 18:00:00,23.1,71,26.8,0.0
2020-01-02 19:00:00,22.3,73,27.6,0.0
2020-01-02 20:00:00,21.6,77,25.6,0.0
2020-01-02 21:00:00,21.2,77,24.2,0.0
2020-01-02 22:00:00,21.4,78,22.8,0.0
2020-01-02 23:00:00,21.7,78,23.5,0.0
2020-01-03 00:00:00,21.8,79,24.0,0.0
2020-01-03 01:00:00,21.6,81,23.4,0.1
2020-01-03 02:00:00,21.4,83,21.7,0.0
2020-01-03 03:00:00,21.1,84,19.8,0.0
2020-01-03 04:00:00,20.9,84,18.7,0.0
2020-01-03 05:00:00,20.7,84,18.9,0.0
2020-01-03 06:00:00,20.5,85,18.7,0.0
2020-01-03 07:00:00,20.8,84,20.1,0.0
2020-01-03 08:00:00,21.1,84,20.3,0.0
2020-01-03 09:00:00,21.7,78,18.7,0.0
2020-01-03 10:00:00,22.3,76,16.5,0.0
2020-01-03 11:00:00,23.0,75,14.0,0.0
2020-01-03 12:00:00,23.6,73,13.4,0.0
2020-01-03 13:00:00,24.1,69,14.5,0.0
2020-01-03 14:00:00,24.5,63,16.2,0.0
2020-01-03 15:00:00,24.9,59,16.2,0.0
2020-01-03 16:00:00,25.1,54,15.5,0.0
2020-01-03 17:00:00,24.9,59,19.9,0.0
2020-01-03 18:00:00,23.6,70,23.9,0.0
2020-01-03 19:00:00,23.0,74,22.7,0.0
2020-01-03 20:00:00,22.1,80,21.1,0.0
2020-01-03 21:00:00,22.0,81,20.8,0.0
2020-01-03 22:00:00,21.9,83,20.6,0.0
2020-01-03 23:00:00,21.9,85,17.4,0.0
2020-01-04 00:00:00,22.3,85,14.2,0.0
2020-01-04 01:00:00,22.5,82,11.2,0.0
2020-01-04 02:00:00,22.7,78,14.0,0.0
2020-01-04 03:00:00,22.2,73,19.5,0.0
2020-01-04 04:00:00,21.6,76,18.8,0.0
2020-01-04 05:00:00,21.1,79,18.2,0.0
2020-01-04 06:00:00,20.9,81,16.9,0.0
2020-01-04 07:00:00,21.5,79,17.0,0.0
2020-01-04 08:00:00,22.0,77,18.0,0.0
2020-01-04 09:00:00,22.5,69,15.5,0.0
2020-01-04 10:00:00,23.0,68,13.9,0.0
2020-01-04 11:00:00,23.7,65,13.0,0.0
2020-01-04 12:00:00,24.4,62,13.2,0.0
2020-01-04 13:00:00,24.9,59,12.9,0.0
2020-01-04 14:00:00,25.3,53,11.6,0.0
2020-01-04 15:00:00,25.5,51,11.7,0.0
2020-01-04 16:00:00,25.6,53,10.7,0.0
2020-01-04 17:00:00,25.5,54,10.5,0.0
2020-01-04 18:00:00,25.3,53,10.2,0.0
2020-01-04 19:00:00,24.7,56,9.0,0.0
2020-01-04 20:00:00,23.3,65,7.6,0.0
2020-01-04 21:00:00,23.0,66,9.4,0.0
2020-01-04 22:00:00,23.0,68,13.4,0.0
2020-01-04 23:00:00,22.8,68,13.8,0.0
2020-01-05 00:00:00,22.5,73,13.1,0.0
2020-01-05 01:00:00,22.2,77,8.7,0.0
2020-01-05 02:00:00,22.2,77,9.3,0.0
2020-01-05 03:00:00,22.2,80,11.7,0.0
2020-01-05 04:00:00,21.8,83,7.3,0.0
2020-01-05 05:00:00,21.7,84,8.3,0.0
2020-01-05 06:00:00,20.2,89,8.4,0.0
2020-01-05 07:00:00,22.8,82,8.4,0.0
2020-01-05 08:00:00,24.0,72,14.7,0.0
2020-01-05 09:00:00,24.9,63,13.6,0.0
2020-01-05 10:00:00,25.6,57,12.3,0.0
2020-01-05 11:00:00,26.4,51,9.7,0.0
2020-01-05 12:00:00,26.8,49,11.3,0.0
2020-01-05 13:00:00,27.1,49,12.6,0.0
2020-01-05 14:00:00,26.9,47,17.3,0.0
2020-01-05 15:00:00,27.2,47,12.9,0.0
2020-01-05 16:00:00,27.0,49,8.2,0.0
2020-01-05 17:00:00,26.3,50,14.3,0.0
2020-01-05 18:00:00,26.0,53,17.0,0.0
2020-01-05 19:00:00,25.1,62,18.5,0.0
2020-01-05 20:00:00,24.0,67,16.9,0.0
2020-01-05 21:00:00,23.8,72,11.2,0.0
2020-01-05 22:00:00,23.8,78,9.7,0.0
2020-01-05 23:00:00,23.1,83,7.2,0.0
2020-01-06 00:00:00,21.5,72,27.5,0.0
2020-01-06 01:00:00,21.1,73,29.0,0.2
2020-01-06 02:00:00,20.1,82,29.7,1.5
2020-01-06 03:00:00,18.8,90,17.0,3.9
2020-01-06 04:00:00,19.3,83,10.2,1.0
2020-01-06 05:00:00,18.6,91,3.4,2.0
2020-01-06 06:00:00,18.9,84,14.4,1.2
2020-01-06 07:00:00,19.5,85,17.9,0.0
2020-01-06 08:00:00,19.5,78,20.2,0.0
2020-01-06 09:00:00,20.0,63,25.7,0.0
2020-01-06 10:00:00,21.5,62,22.9,0.0
2020-01-06 11:00:00,23.2,58,20.9,0.0
2020-01-06 12:00:00,24.8,53,23.1,0.0
2020-01-06 13:00:00,26.1,40,27.7,0.0
2020-01-06 14:00:00,26.5,33,30.5,0.0
2020-01-06 15:00:00,26.2,36,31.8,0.0
2020-01-06 16:00:00,26.0,38,31.0,0.0
2020-01-06 17:00:00,25.4,39,31.1,0.0
2020-01-06 18:00:00,24.5,42,28.2,0.0
2020-01-06 19:00:00,23.4,47,24.4,0.0
2020-01-06 20:00:00,21.9,51,19.3,0.0
2020-01-06 21:00:00,20.6,53,16.8,0.0
2020-01-06 22:00:00,19.6,58,14.5,0.0
2020-01-06 23:00:00,18.9,62,9.8,0.0
2020-01-07 00:00:00,18.1,66,8.8,0.0
2020-01-07 01:00:00,17.3,69,10.9,0.0
2020-01-07 02:00:00,16.7,70,13.4,0.0
2020-01-07 03:00:00,16.3,69,12.6,0.0
2020-01-07 04:00:00,15.8,68,13.0,0.0
2020-01-07 05:00:00,15.5,65,13.4,0.0
2020-01-07 06:00:00,15.1,64,13.4,0.0
2020-01-07 07:00:00,16.2,62,14.8,0.0
2020-01-07 08:00:00,18.6,56,13.8,0.0
2020-01-07 09:00:00,21.2,51,16.6,0.0
2020-01-07 10:00:00,23.2,45,15.0,0.0
2020-01-07 11:00:00,24.7,38,14.1,0.0
2020-01-07 12:00:00,25.8,35,13.8,0.0
2020-01-07 13:00:00,26.7,33,13.9,0.0
2020-01-07 14:00:00,27.3,32,16.0,0.0
2020-01-07 15:00:00,27.8,32,18.1,0.0
2020-01-07 16:00:00,27.8,34,19.6,0.0
2020-01-07 17:00:00,27.7,36,20.2,0.0
2020-01-07 18:00:00,27.3,39,19.1,0.0
2020-01-07 19:00:00,26.3,47,14.8,0.0
2020-01-07 20:00:00,24.4,56,11.8,0.0
2020-01-07 21:00:00,23.7,55,15.5,0.0
2020-01-07 22:00:00,23.0,58,16.1,0.0
2020-01-07 23:00:00,22.6,59,15.8,0.0
2020-01-08 00:00:00,22.1,60,15.3,0.0
2020-01-08 01:00:00,21.4,62,15.4,0.0
2020-01-08 02:00:00,21.0,62,15.0,0.0
2020-01-08 03:00:00,20.6,62,14.8,0.0
2020-01-08 04:00:00,20.3,63,15.3,0.0
2020-01-08 05:00:00,19.9,63,15.8,0.0
2020-01-08 06:00:00,19.5,64,15.0,0.0
2020-01-08 07:00:00,20.5,64,16.1,0.0
2020-01-08 08:00:00,22.2,60,17.0,0.0
2020-01-08 09:00:00,24.1,54,19.8,0.0
2020-01-08 10:00:00,25.4,52,19.8,0.0
2020-01-08 11:00:00,26.3,52,21.1,0.0
2020-01-08 12:00:00,27.1,50,23.0,0.0
2020-01-08 13:00:00,28.2,44,22.7,0.0
2020-01-08 14:00:00,29.5,38,23.1,0.0
2020-01-08 15:00:00,30.3,36,25.6,0.0
2020-01-08 16:00:00,30.5,36,25.2,0.0
2020-01-08 17:00:00,30.1,39,22.2,0.0
2020-01-08 18:00:00,29.1,44,21.9,0.0
2020-01-08 19:00:00,28.0,48,23.3,0.0
2020-01-08 20:00:00,26.6,59,8.3,0.1
2020-01-08 21:00:00,26.0,62,10.5,0.0
2020-01-08 22:00:00,26.3,61,12.6,0.0
2020-01-08 23:00:00,26.0,63,14.8,0.0
2020-01-09 00:00:00,25.2,68,10.5,0.0
2020-01-09 01:00:00,24.7,75,7.3,0.0
2020-01-09 02:00:00,24.9,74,16.8,0.0
2020-01-09 03:00:00,25.0,72,16.7,0.0
2020-01-09 04:00:00,24.1,70,13.7,0.0
2020-01-09 05:00:00,23.4,67,13.5,0.0
2020-01-09 06:00:00,22.7,70,9.3,0.0
2020-01-09 07:00:00,23.3,69,12.4,0.0
2020-01-09 08:00:00,24.3,66,14.2,0.0
2020-01-09 09:00:00,23.5,73,5.8,1.1
2020-01-09 10:00:00,23.9,73,8.6,0.0
2020-01-09 11:00:00,24.6,65,13.4,0.0
2020-01-09 12:00:00,25.6,59,11.8,0.0
2020-01-09 13:00:00,27.4,54,14.2,0.0
2020-01-09 14:00:00,28.2,52,12.5,0.0
2020-01-09 15:00:00,28.8,50,8.8,0.0
2020-01-09 16:00:00,28.6,51,6.5,0.0
2020-01-09 17:00:00,27.5,62,14.3,0.0
2020-01-09 18:00:00,26.6,63,14.5,0.0
2020-01-09 19:00:00,26.1,65,9.4,0.0
2020-01-09 20:00:00,25.2,74,3.9,0.0
2020-01-09 21:00:00,23.7,75,16.6,0.0
2020-01-09 22:00:00,23.5,79,16.9,0.0
2020-01-09 23:00:00,23.4,77,14.5,0.0
2020-01-10 00:00:00,23.0,79,13.4,0.0
2020-01-10 01:00:00,22.8,79,15.1,0.0
2020-01-10 02:00:00,22.6,80,15.4,0.0
2020-01-10 03:00:00,22.3,83,14.4,0.0
2020-01-10 04:00:00,21.8,85,13.5,0.0
2020-01-10 05:00:00,21.6,88,13.8,0.0
2020-01-10 06:00:00,20.7,90,15.1,0.0
2020-01-10 07:00:00,20.8,84,17.2,0.0
2020-01-10 08:00:00,21.5,77,18.8,0.0
2020-01-10 09:00:00,24.3,75,14.8,0.0
2020-01-10 10:00:00,24.8,75,11.2,0.0
2020-01-10 11:00:00,25.8,72,7.4,0.0
2020-01-10 12:00:00,27.5,65,7.1,0.0
2020-01-10 13:00:00,29.4,46,9.0,0.0
2020-01-10 14:00:00,29.7,41,15.8,0.0
2020-01-10 15:00:00,30.2,40,23.6,0.0
2020-01-10 16:00:00,30.4,38,23.2,0.0
2020-01-10 17:00:00,30.1,40,22.1,0.0
2020-01-10 18:00:00,29.3,40,20.7,0.0
2020-01-10 19:00:00,28.1,40,18.4,0.0
2020-01-10 20:00:00,25.7,48,11.2,0.0
2020-01-10 21:00:00,24.3,84,8.4,0.0
2020-01-10 22:00:00,23.8,86,8.3,0.0
2020-01-10 23:00:00,23.4,86,5.4,0.0
2020-01-11 00:00:00,22.4,89,7.4,0.0
2020-01-11 01:00:00,21.9,90,4.0,0.0
2020-01-11 02:00:00,20.7,92,6.5,0.0
2020-01-11 03:00:00,19.8,80,12.6,0.0
2020-01-11 04:00:00,19.2,87,12.9,0.0
2020-01-11 05:00:00,19.1,92,14.2,0.0
2020-01-11 06:00:00,19.1,93,14.1,0.0
2020-01-11 07:00:00,20.2,84,14.3,0.0
2020-01-11 08:00:00,21.9,80,13.6,0.0
2020-01-11 09:00:00,23.9,75,5.0,0.0
2020-01-11 10:00:00,25.3,70,5.9,0.0
2020-01-11 11:00:00,26.5,65,6.3,0.0
2020-01-11 12:00:00,27.6,59,6.2,0.0
2020-01-11 13:00:00,28.1,61,7.7,0.0
2020-01-11 14:00:00,28.3,62,10.2,0.0
2020-01-11 15:00:00,28.6,62,12.1,0.0
2020-01-11 16:00:00,28.7,60,13.0,0.0
2020-01-11 17:00:00,28.6,60,11.7,0.0
2020-01-11 18:00:00,28.3,60,10.9,0.0
2020-01-11 19:00:00,27.7,62,10.3,0.0
2020-01-11 20:00:00,26.2,72,5.4,0.0
2020-01-11 21:00:00,25.2,76,6.7,0.0
2020-01-11 22:00:00,26.9,63,0.8,0.0
2020-01-11 23:00:00,26.8,63,1.5,0.0
2020-01-12 00:00:00,25.0,78,4.7,0.0
2020-01-12 01:00:00,25.1,73,4.8,0.0
2020-01-12 02:00:00,24.9,74,5.5,0.1
2020-01-12 03:00:00,23.4,79,5.4,0.0
2020-01-12 04:00:00,22.4,67,18.3,0.0
2020-01-12 05:00:00,20.5,64,20.9,0.0
2020-01-12 06:00:00,20.3,66,19.4,0.0
2020-01-12 07:00:00,20.9,64,19.6,0.0
2020-01-12 08:00:00,21.9,62,19.5,0.0
2020-01-12 09:00:00,23.8,71,17.9,0.0
2020-01-12 10:00:00,25.1,65,17.3,0.0
2020-01-12 11:00:00,25.9,60,18.6,0.0
2020-01-12 12:00:00,26.7,57,18.5,0.0
2020-01-12 13:00:00,27.2,53,20.4,0.0
2020-01-12 14:00:00,27.7,51,21.6,0.0
2020-01-12 15:00:00,27.0,52,23.9,0.0
2020-01-12 16:00:00,26.4,51,25.6,0.0
2020-01-12 17:00:00,26.0,52,29.6,0.0
2020-01-12 18:00:00,25.1,53,32.6,0.0
2020-01-12 19:00:00,24.2,51,35.7,0.0
2020-01-12 20:00:00,23.4,56,35.1,0.0
2020-01-12 21:00:00,22.7,61,33.0,0.0
2020-01-12 22:00:00,22.4,63,33.0,0.0
2020-01-12 23:00:00,22.3,64,30.7,0.0
2020-01-13 00:00:00,22.3,61,26.0,0.0
2020-01-13 01:00:00,22.2,65,27.3,0.0
2020-01-13 02:00:00,22.1,66,27.4,0.0
2020-01-13 03:00:00,22.0,67,26.3,0.0
2020-01-13 04:00:00,21.8,66,26.7,0.0
2020-01-13 05:00:00,21.4,66,26.9,0.0
2020-01-13 06:00:00,21.1,65,26.2,0.0
2020-01-13 07:00:00,21.5,58,26.2,0.0
2020-01-13 08:00:00,22.0,53,25.9,0.0
2020-01-13 09:00:00,22.4,49,23.7,0.0
2020-01-13 10:00:00,23.4,48,24.9,0.0
2020-01-13 11:00:00,24.3,47,23.4,0.0
2020-01-13 12:00:00,25.1,46,22.4,0.0
2020-01-13 13:00:00,26.0,45,23.1,0.0
2020-01-13 14:00:00,26.9,43,25.5,0.0
2020-01-13 15:00:00,27.4,44,28.0,0.0
2020-01-13 16:00:00,27.2,49,28.8,0.0
2020-01-13 17:00:00,26.6,53,29.6,0.0
2020-01-13 18:00:00,25.8,58,30.2,0.0
2020-01-13 19:00:00,24.9,67,30.2,0.0
2020-01-13 20:00:00,24.2,74,28.4,0.0
2020-01-13 21:00:00,23.5,80,25.2,0.0
2020-01-13 22:00:00,23.9,79,24.7,0.0
2020-01-13 23:00:00,24.1,80,22.1,0.0
2020-01-14 00:00:00,24.7,77,18.1,0.0
2020-01-14 01:00:00,25.6,66,18.3,0.0
2020-01-14 02:00:00,26.0,57,26.0,0.0
2020-01-14 03:00:00,25.2,60,25.0,0.0
2020-01-14 04:00:00,24.9,61,26.1,0.0
2020-01-14 05:00:00,24.6,63,25.6,0.0
2020-01-14 06:00:00,24.3,66,23.1,0.0
2020-01-14 07:00:00,24.4,67,17.6,0.0
2020-01-14 08:00:00,24.5,69,9.8,0.0
2020-01-14 09:00:00,23.3,84,15.0,0.1
2020-01-14 10:00:00,22.8,94,9.8,2.0
2020-01-14 11:00:00,22.2,95,17.0,2.1
2020-01-14 12:00:00,22.3,95,19.4,3.0
2020-01-14 13:00:00,22.8,94,22.5,1.4
2020-01-14 14:00:00,24.0,88,17.5,0.8
2020-01-14 15:00:00,25.7,80,22.2,0.2
2020-01-14 16:00:00,26.9,75,20.8,0.0
2020-01-14 17:00:00,27.1,74,16.8,0.0
2020-01-14 18:00:00,26.9,77,13.9,0.0
2020-01-14 19:00:00,26.3,80,13.2,0.0
2020-01-14 20:00:00,25.6,85,8.2,0.0
2020-01-14 21:00:00,26.9,83,10.8,0.0
2020-01-14 22:00:00,26.3,85,8.4,0.0
2020-01-14 23:00:00,26.0,87,5.9,0.0
2020-01-15 00:00:00,26.2,86,6.5,0.0
2020-01-15 01:00:00,24.6,91,7.2,1.5
2020-01-15 02:00:00,23.9,96,4.7,4.5
2020-01-15 03:00:00,23.6,97,4.0,11.8
2020-01-15 04:00:00,23.9,94,10.0,0.2
2020-01-15 05:00:00,23.9,95,11.2,0.0
2020-01-15 06:00:00,24.0,97,10.3,0.3
2020-01-15 07:00:00,24.0,97,5.2,1.9
2020-01-15 08:00:00,23.4,99,16.9,9.0
2020-01-15 09:00:00,22.7,92,18.0,7.3
2020-01-15 10:00:00,23.0,95,9.5,2.4
2020-01-15 11:00:00,24.1,87,9.8,0.2
2020-01-15 12:00:00,25.0,83,17.6,0.0
2020-01-15 13:00:00,24.9,83,18.1,0.4
2020-01-15 14:00:00,25.7,80,24.4,0.2
2020-01-15 15:00:00,27.6,68,24.6,0.0
2020-01-15 16:00:00,27.0,62,30.6,0.0
2020-01-15 17:00:00,27.0,52,24.3,0.0
2020-01-15 18:00:00,26.3,54,24.4,0.0
2020-01-15 19:00:00,25.0,58,21.1,0.0
2020-01-15 20:00:00,23.3,61,14.4,0.0
2020-01-15 21:00:00,22.2,64,15.0,0.0
2020-01-15 22:00:00,21.2,64,18.4,0.0
2020-01-15 23:00:00,19.7,63,21.9,0.0
2020-01-16 00:00:00,18.8,61,21.4,0.0
2020-01-16 01:00:00,18.0,55,22.6,0.0
2020-01-16 02:00:00,16.9,56,19.4,0.0
2020-01-16 03:00:00,15.9,59,16.8,0.0
2020-01-16 04:00:00,15.1,62,11.8,0.0
2020-01-16 05:00:00,14.5,69,7.1,0.0
2020-01-16 06:00:00,14.0,75,5.4,0.0
2020-01-16 07:00:00,14.6,71,10.5,0.0
2020-01-16 08:00:00,15.8,59,11.9,0.0
2020-01-16 09:00:00,17.3,48,10.4,0.0
2020-01-16 10:00:00,18.7,44,7.8,0.0
2020-01-16 11:00:00,19.9,42,6.3,0.0
2020-01-16 12:00:00,20.7,42,1.6,0.0
2020-01-16 13:00:00,21.7,43,6.2,0.0
2020-01-16 14:00:00,22.8,43,10.2,0.0
2020-01-16 15:00:00,23.4,42,12.6,0.0
2020-01-16 16:00:00,23.9,43,15.2,0.0
2020-01-16 17:00:00,24.0,42,17.2,0.0
2020-01-16 18:00:00,23.6,45,17.7,0.0
2020-01-16 19:00:00,22.8,50,12.9,0.0
2020-01-16 20:00:00,21.0,58,12.3,0.0
2020-01-16 21:00:00,20.0,67,7.2,0.0
2020-01-16 22:00:00,19.5,65,8.1,0.0
2020-01-16 23:00:00,18.6,71,6.8,0.0
2020-01-17 00:00:00,18.0,71,8.4,0.0
2020-01-17 01:00:00,18.2,62,6.8,0.0
2020-01-17 02:00:00,16.6,61,23.4,0.0
2020-01-17 03:00:00,16.1,61,19.1,0.0
2020-01-17 04:00:00,16.1,66,16.6,0.0
2020-01-17 05:00:00,16.1,69,15.8,0.0
2020-01-17 06:00:00,16.1,75,15.6,0.0
2020-01-17 07:00:00,17.1,75,16.1,0.0
2020-01-17 08:00:00,18.9,70,16.6,0.0
2020-01-17 09:00:00,20.7,66,14.7,0.0
2020-01-17 10:00:00,21.2,66,14.6,0.0
2020-01-17 11:00:00,21.7,62,14.0,0.0
2020-01-17 12:00:00,22.3,58,13.4,0.0
2020-01-17 13:00:00,22.8,57,12.1,0.0
2020-01-17 14:00:00,23.3,58,11.8,0.0
2020-01-17 15:00:00,23.5,58,13.3,0.0
2020-01-17 16:00:00,23.8,56,13.0,0.0
2020-01-17 17:00:00,24.0,55,12.8,0.0
2020-01-17 18:00:00,23.7,56,13.8,0.0
2020-01-17 19:00:00,23.0,60,12.9,0.0
2020-01-17 20:00:00,21.7,66,15.2,0.0
2020-01-17 21:00:00,21.7,64,15.4,0.0
2020-01-17 22:00:00,21.5,63,15.7,0.0
2020-01-17 23:00:00,21.5,65,16.0,0.0
2020-01-18 00:00:00,21.3,64,17.9,0.0
2020-01-18 01:00:00,21.1,56,17.3,0.0
2020-01-18 02:00:00,20.7,62,16.3,0.0
2020-01-18 03:00:00,20.5,67,14.6,0.0
2020-01-18 04:00:00,20.8,69,14.1,0.0
2020-01-18 05:00:00,21.1,69,12.8,0.1
2020-01-18 06:00:00,20.8,71,14.4,0.0
2020-01-18 07:00:00,21.5,70,13.3,0.0
2020-01-18 08:00:00,22.5,62,17.2,0.0
2020-01-18 09:00:00,23.1,60,19.4,0.0
2020-01-18 10:00:00,23.7,59,18.7,0.0
2020-01-18 11:00:00,24.5,56,18.8,0.0
2020-01-18 12:00:00,25.5,54,17.4,0.0
2020-01-18 13:00:00,26.3,52,14.8,0.0
2020-01-18 14:00:00,26.8,51,14.7,0.0
2020-01-18 15:00:00,26.9,51,15.3,0.0
2020-01-18 16:00:00,26.9,50,14.8,0.0
2020-01-18 17:00:00,26.9,49,12.6,0.0
2020-01-18 18:00:00,26.7,49,9.7,0.0
2020-01-18 19:00:00,25.6,61,10.8,0.0
2020-01-18 20:00:00,23.6,74,13.5,0.0
2020-01-18 21:00:00,23.5,73,12.6,0.0
2020-01-18 22:00:00,23.5,75,12.1,0.0
2020-01-18 23:00:00,23.2,78,13.3,0.0
2020-01-19 00:00:00,23.1,79,14.2,0.0
2020-01-19 01:00:00,23.1,79,13.1,0.0
2020-01-19 02:00:00,22.9,79,11.3,0.0
2020-01-19 03:00:00,22.7,80,9.0,0.0
2020-01-19 04:00:00,22.4,81,8.4,0.0
2020-01-19 05:00:00,22.2,82,7.4,0.0
2020-01-19 06:00:00,22.2,82,7.9,0.0
2020-01-19 07:00:00,23.0,79,8.9,0.0
2020-01-19 08:00:00,24.3,68,11.5,0.0
2020-01-19 09:00:00,25.4,62,13.9,0.0
2020-01-19 10:00:00,26.0,60,12.9,0.0
2020-01-19 11:00:00,27.0,58,12.9,0.0
2020-01-19 12:00:00,27.5,59,13.5,0.0
2020-01-19 13:00:00,27.8,60,13.3,0.0
2020-01-19 14:00:00,28.4,60,12.0,0.0
2020-01-19 15:00:00,28.8,60,11.6,0.0
2020-01-19 16:00:00,28.8,61,12.1,0.0
2020-01-19 17:00:00,28.3,61,14.3,0.0
2020-01-19 18:00:00,27.7,61,15.2,0.0
2020-01-19 19:00:00,27.1,65,14.8,0.0
2020-01-19 20:00:00,25.8,70,15.5,0.0
2020-01-19 21:00:00,25.1,78,13.6,0.0
2020-01-19 22:00:00,25.3,77,12.4,0.0
2020-01-19 23:00:00,25.2,76,11.5,0.0
2020-01-20 00:00:00,25.0,78,10.6,0.0
2020-01-20 01:00:00,24.7,81,9.6,0.0
2020-01-20 02:00:00,24.5,84,7.4,0.0
2020-01-20 03:00:00,24.1,88,5.7,0.0
2020-01-20 04:00:00,24.3,87,6.6,0.0
2020-01-20 05:00:00,24.4,86,6.8,0.0
2020-01-20 06:00:00,24.1,87,8.3,0.0
2020-01-20 07:00:00,25.3,83,10.0,0.0
2020-01-20 08:00:00,26.4,78,9.4,0.0
2020-01-20 09:00:00,27.5,72,11.7,0.0
2020-01-20 10:00:00,28.1,68,10.9,0.0
2020-01-20 11:00:00,28.9,66,9.0,0.0
2020-01-20 12:00:00,29.8,61,9.8,0.0
2020-01-20 13:00:00,30.2,59,12.9,0.0
2020-01-20 14:00:00,30.2,59,11.9,0.0
2020-01-20 15:00:00,30.5,55,12.5,0.0
2020-01-20 16:00:00,30.4,54,9.5,0.0
2020-01-20 17:00:00,30.1,54,9.4,0.0
2020-01-20 18:00:00,29.3,57,8.1,0.0
2020-01-20 19:00:00,27.9,63,11.9,0.0
2020-01-20 20:00:00,26.1,75,14.8,0.0
2020-01-20 21:00:00,26.0,82,8.2,0.0
2020-01-20 22:00:00,25.5,85,8.9,0.0
2020-01-20 23:00:00,24.9,87,8.6,0.0
2020-01-21 00:00:00,24.7,89,4.7,0.0
2020-01-21 01:00:00,24.4,89,9.5,0.0
2020-01-21 02:00:00,24.1,86,11.0,0.0
2020-01-21 03:00:00,23.8,83,11.4,0.0
2020-01-21 04:00:00,23.6,81,10.5,0.2
2020-01-21 05:00:00,23.3,81,10.5,0.0
2020-01-21 06:00:00,23.2,81,9.7,0.0
2020-01-21 07:00:00,23.1,81,12.7,0.1
2020-01-21 08:00:00,22.9,84,18.0,0.5
2020-01-21 09:00:00,23.7,92,7.7,0.1
2020-01-21 10:00:00,23.6,96,10.0,2.4
2020-01-21 11:00:00,23.8,96,11.7,2.6
2020-01-21 12:00:00,23.7,94,12.2,3.0
2020-01-21 13:00:00,24.2,94,13.2,1.6
2020-01-21 14:00:00,25.3,88,18.4,0.7
2020-01-21 15:00:00,25.5,86,17.5,0.5
2020-01-21 16:00:00,25.6,85,18.1,0.2
2020-01-21 17:00:00,25.5,82,15.8,0.0
2020-01-21 18:00:00,25.2,80,18.4,0.0
2020-01-21 19:00:00,24.4,81,21.8,0.0
2020-01-21 20:00:00,23.7,81,23.8,0.0
2020-01-21 21:00:00,23.9,83,18.4,0.0
2020-01-21 22:00:00,23.4,83,18.3,0.0
2020-01-21 23:00:00,23.3,86,21.1,0.0
2020-01-22 00:00:00,23.5,87,23.7,0.0
2020-01-22 01:00:00,23.2,89,21.1,0.0
2020-01-22 02:00:00,23.2,89,20.9,0.0
2020-01-22 03:00:00,23.4,89,18.8,0.0
2020-01-22 04:00:00,23.1,91,17.6,0.0
2020-01-22 05:00:00,23.1,93,17.1,0.0
2020-01-22 06:00:00,23.4,92,16.6,0.0
2020-01-22 07:00:00,23.9,86,20.1,0.0
2020-01-22 08:00:00,24.3,82,22.0,0.0
2020-01-22 09:00:00,24.5,79,18.1,0.0
2020-01-22 10:00:00,25.2,74,16.6,0.0
2020-01-22 11:00:00,25.8,69,16.9,0.1
2020-01-22 12:00:00,26.2,69,16.8,0.1
